,lang_code,lang_name,project,url,dbname,site_name,closed
0,aa,Qafár af,,https://aa.wikipedia.org,aawiki,Wikipedia,False
1,aa,Qafár af,,https://aa.wiktionary.org,aawiktionary,Wiktionary,False
2,aa,Qafár af,,https://aa.wikibooks.org,aawikibooks,Wikibooks,False
3,ab,аԥсшәа,,https://ab.wikipedia.org,abwiki,Авикипедиа,False
4,ab,аԥсшәа,,https://ab.wiktionary.org,abwiktionary,Wiktionary,False
5,ace,Acèh,,https://ace.wikipedia.org,acewiki,Wikipedia,False
6,ady,адыгабзэ,,https://ady.wikipedia.org,adywiki,Википедие,False
7,af,Afrikaans,,https://af.wikipedia.org,afwiki,Wikipedia,False
8,af,Afrikaans,,https://af.wiktionary.org,afwiktionary,Wiktionary,False
9,af,Afrikaans,,https://af.wikibooks.org,afwikibooks,Wikibooks,False
10,af,Afrikaans,,https://af.wikiquote.org,afwikiquote,Wikiquote,False
11,ak,,,https://ak.wikipedia.org,akwiki,Wikipedia,False
12,ak,,,https://ak.wiktionary.org,akwiktionary,Wiktionary,False
13,ak,,,https://ak.wikibooks.org,akwikibooks,Wikibooks,False
14,alt,алтай тил,,https://alt.wikipedia.org,altwiki,Википедия,False
15,am,አማርኛ,,https://am.wikipedia.org,amwiki,ውክፔዲያ,False
16,am,አማርኛ,,https://am.wiktionary.org,amwiktionary,Wiktionary,False
17,am,አማርኛ,,https://am.wikiquote.org,amwikiquote,Wikiquote,False
18,ami,Pangcah,,https://ami.wikipedia.org,amiwiki,Wikipedia,False
19,an,aragonés,,https://an.wikipedia.org,anwiki,Wikipedia,False
20,an,aragonés,,https://an.wiktionary.org,anwiktionary,Wiktionary,False
21,ang,Ænglisc,,https://ang.wikipedia.org,angwiki,Wikipǣdia,False
22,ang,Ænglisc,,https://ang.wiktionary.org,angwiktionary,Wikiwordbōc,False
23,ang,Ænglisc,,https://ang.wikibooks.org,angwikibooks,Wikibooks,False
24,ang,Ænglisc,,https://ang.wikiquote.org,angwikiquote,Wikiquote,False
25,ang,Ænglisc,,https://ang.wikisource.org,angwikisource,Wicifruma,False
26,ann,Obolo,,https://ann.wikipedia.org,annwiki,Wìkìpedia,False
27,anp,अंगिका,,https://anp.wikipedia.org,anpwiki,विकिपीडिया,False
28,ar,العربية,,https://ar.wikipedia.org,arwiki,ويكيبيديا,False
29,ar,العربية,,https://ar.wiktionary.org,arwiktionary,ويكاموس,False
30,ar,العربية,,https://ar.wikibooks.org,arwikibooks,ويكي الكتب,False
31,ar,العربية,,https://ar.wikinews.org,arwikinews,ويكي الأخبار,False
32,ar,العربية,,https://ar.wikiquote.org,arwikiquote,ويكي الاقتباس,False
33,ar,العربية,,https://ar.wikisource.org,arwikisource,ويكي مصدر,False
34,ar,العربية,,https://ar.wikiversity.org,arwikiversity,ويكي الجامعة,False
35,arc,ܐܪܡܝܐ,,https://arc.wikipedia.org,arcwiki,ܘܝܩܝܦܕܝܐ,False
36,ary,الدارجة,,https://ary.wikipedia.org,arywiki,ويكيپيديا,False
37,arz,مصرى,,https://arz.wikipedia.org,arzwiki,ويكيبيديا,False
38,as,অসমীয়া,,https://as.wikipedia.org,aswiki,অসমীয়া ৱিকিপিডিয়া,False
39,as,অসমীয়া,,https://as.wiktionary.org,aswiktionary,Wiktionary,False
40,as,অসমীয়া,,https://as.wikibooks.org,aswikibooks,Wikibooks,False
41,as,অসমীয়া,,https://as.wikiquote.org,aswikiquote,ৱিকিউদ্ধৃতি,False
42,as,অসমীয়া,,https://as.wikisource.org,aswikisource,ৱিকিউৎস,False
43,ast,asturianu,,https://ast.wikipedia.org,astwiki,Wikipedia,False
44,ast,asturianu,,https://ast.wiktionary.org,astwiktionary,Wikcionariu,False
45,ast,asturianu,,https://ast.wikibooks.org,astwikibooks,Wikibooks,False
46,ast,asturianu,,https://ast.wikiquote.org,astwikiquote,Wikiquote,False
47,atj,Atikamekw,,https://atj.wikipedia.org,atjwiki,Wikipetcia,False
48,av,авар,,https://av.wikipedia.org,avwiki,Wikipedia,False
49,av,авар,,https://av.wiktionary.org,avwiktionary,Wiktionary,False
50,avk,Kotava,,https://avk.wikipedia.org,avkwiki,Wikipedia,False
51,awa,अवधी,,https://awa.wikipedia.org,awawiki,विकिपीडिया,False
52,ay,Aymar aru,,https://ay.wikipedia.org,aywiki,Wikipedia,False
53,ay,Aymar aru,,https://ay.wiktionary.org,aywiktionary,Wiktionary,False
54,ay,Aymar aru,,https://ay.wikibooks.org,aywikibooks,Wikibooks,False
55,az,azərbaycanca,,https://az.wikipedia.org,azwiki,Vikipediya,False
56,az,azərbaycanca,,https://az.wiktionary.org,azwiktionary,Vikilüğət,False
57,az,azərbaycanca,,https://az.wikibooks.org,azwikibooks,Vikikitab,False
58,az,azərbaycanca,,https://az.wikiquote.org,azwikiquote,Vikisitat,False
59,az,azərbaycanca,,https://az.wikisource.org,azwikisource,Vikimənbə,False
60,azb,تۆرکجه,,https://azb.wikipedia.org,azbwiki,ویکی‌پدیا,False
61,ba,башҡортса,,https://ba.wikipedia.org,bawiki,Википедия,False
62,ba,башҡортса,,https://ba.wikibooks.org,bawikibooks,Викидәреслек,False
63,ban,Basa Bali,,https://ban.wikipedia.org,banwiki,Wikipédia,False
64,ban,Basa Bali,,https://ban.wikisource.org,banwikisource,Wikisource,False
65,bar,Boarisch,,https://bar.wikipedia.org,barwiki,Wikipedia,False
66,bbc,Batak Toba,,https://bbc.wikipedia.org,bbcwiki,Wikipedia,False
67,bcl,Bikol Central,,https://bcl.wikipedia.org,bclwiki,Wikipedia,False
68,bcl,Bikol Central,,https://bcl.wiktionary.org,bclwiktionary,Wiksyunaryo,False
69,bcl,Bikol Central,,https://bcl.wikiquote.org,bclwikiquote,Wikiquote,False
70,bcl,Bikol Central,,https://bcl.wikisource.org,bclwikisource,Wikisource,False
71,bdr,Bajau Sama,,https://bdr.wikipedia.org,bdrwiki,Wikipidia,False
72,be,беларуская,,https://be.wikipedia.org,bewiki,Вікіпедыя,False
73,be,беларуская,,https://be.wiktionary.org,bewiktionary,Вікіслоўнік,False
74,be,беларуская,,https://be.wikibooks.org,bewikibooks,Вікікнігі,False
75,be,беларуская,,https://be.wikiquote.org,bewikiquote,Wikiquote,False
76,be,беларуская,,https://be.wikisource.org,bewikisource,Вікікрыніцы,False
77,be-tarask,беларуская (тарашкевіца),,https://be-tarask.wikipedia.org,be_x_oldwiki,Вікіпэдыя,False
78,bew,Betawi,,https://bew.wikipedia.org,bewwiki,Wikipédi,False
79,bew,Betawi,,https://bew.wiktionary.org,bewwiktionary,Wikikamus,False
80,bg,български,,https://bg.wikipedia.org,bgwiki,Уикипедия,False
81,bg,български,,https://bg.wiktionary.org,bgwiktionary,Уикиречник,False
